split,utterance_id,text,token,source,offset
train,train-YH-999_SP07_5441327_5442425-063f917a5806,tuMpæFsɨM ɦaMwaMtʰaMjiM,˧,M,15
train,train-YH-999_SP07_5441327_5442425-063f917a5806,tuMpæFsɨM ɦaMwaMtʰaMjiM,˧,M,19
train,train-YH-999_SP07_5441327_5442425-063f917a5806,tuMpæFsɨM ɦaMwaMtʰaMjiM,˧,M,22
train,train-YH-999_SP07_2806448_2807160-5bcc2ff73981,puMɕjawFtɛM ʂajM,˧,M,2
train,train-YH-999_SP07_2806448_2807160-5bcc2ff73981,puMɕjawFtɛM ʂajM,˥,F,7
train,train-YH-999_SP07_2806448_2807160-5bcc2ff73981,puMɕjawFtɛM ʂajM,˧,F,7
train,train-YH-999_SP07_2806448_2807160-5bcc2ff73981,puMɕjawFtɛM ʂajM,˧,M,10
train,train-YH-999_SP07_2806448_2807160-5bcc2ff73981,puMɕjawFtɛM ʂajM,˧,M,15
train,train-YH-999_SP07_4393748_4394540-3b3cd8a5abfb,æMlyMlɛM,˧,M,1
train,train-YH-999_SP07_4393748_4394540-3b3cd8a5abfb,æMlyMlɛM,˧,M,4
train,train-YH-999_SP07_4393748_4394540-3b3cd8a5abfb,æMlyMlɛM,˧,M,7
train,train-YH-999_SP07_6371675_6372429-318ec2381cdf,awF tawMtujM,˥,F,2
train,train-YH-999_SP07_6371675_6372429-318ec2381cdf,awF tawMtujM,˧,F,2
train,train-YH-999_SP07_6371675_6372429-318ec2381cdf,awF tawMtujM,˧,M,7
train,train-YH-999_SP07_6371675_6372429-318ec2381cdf,awF tawMtujM,˧,M,11
train,train-YH-758_SP01_1148279_1148933-c108b11e7daa,əNR,N,N,1
train,train-YH-758_SP01_1148279_1148933-c108b11e7daa,əNR,˧,R,2
train,train-YH-758_SP01_1148279_1148933-c108b11e7daa,əNR,˥,R,2
train,train-YH-999_SP07_2518387_2519041-33b0d4192ad8,ajM,˧,M,2
train,train-YH-999_SP07_4545509_4546561-4c8a4f1eac8d,pɛMtɕɛjF hawMʂwaMtɛMhəNF,˧,M,2
train,train-YH-999_SP07_4545509_4546561-4c8a4f1eac8d,pɛMtɕɛjF hawMʂwaMtɛMhəNF,˥,F,7
train,train-YH-999_SP07_4545509_4546561-4c8a4f1eac8d,pɛMtɕɛjF hawMʂwaMtɛMhəNF,˧,F,7
train,train-YH-999_SP07_4545509_4546561-4c8a4f1eac8d,pɛMtɕɛjF hawMʂwaMtɛMhəNF,˧,M,12
train,train-YH-999_SP07_4545509_4546561-4c8a4f1eac8d,pɛMtɕɛjF hawMʂwaMtɛMhəNF,˧,M,16
train,train-YH-999_SP07_4545509_4546561-4c8a4f1eac8d,pɛMtɕɛjF hawMʂwaMtɛMhəNF,˧,M,19
train,train-YH-999_SP07_4545509_4546561-4c8a4f1eac8d,pɛMtɕɛjF hawMʂwaMtɛMhəNF,N,N,22
train,train-YH-999_SP07_4545509_4546561-4c8a4f1eac8d,pɛMtɕɛjF hawMʂwaMtɛMhəNF,˥,F,23
train,train-YH-999_SP07_4545509_4546561-4c8a4f1eac8d,pɛMtɕɛjF hawMʂwaMtɛMhəNF,˧,F,23
train,train-YH-758_SP02_0487626_0488471-ce75f9469e82,kɨFtəM taMkaF wuMtiMwuMnæM,˥,F,2
train,train-YH-758_SP02_0487626_0488471-ce75f9469e82,kɨFtəM taMkaF wuMtiMwuMnæM,˧,F,2
train,train-YH-758_SP02_0487626_0488471-ce75f9469e82,kɨFtəM taMkaF wuMtiMwuMnæM,˧,M,5
train,train-YH-758_SP02_0487626_0488471-ce75f9469e82,kɨFtəM taMkaF wuMtiMwuMnæM,˧,M,9
train,train-YH-758_SP02_0487626_0488471-ce75f9469e82,kɨFtəM taMkaF wuMtiMwuMnæM,˥,F,12
train,train-YH-758_SP02_0487626_0488471-ce75f9469e82,kɨFtəM taMkaF wuMtiMwuMnæM,˧,F,12
train,train-YH-758_SP02_0487626_0488471-ce75f9469e82,kɨFtəM taMkaF wuMtiMwuMnæM,˧,M,16
train,train-YH-758_SP02_0487626_0488471-ce75f9469e82,kɨFtəM taMkaF wuMtiMwuMnæM,˧,M,19
train,train-YH-758_SP02_0487626_0488471-ce75f9469e82,kɨFtəM taMkaF wuMtiMwuMnæM,˧,M,22
train,train-YH-758_SP02_0487626_0488471-ce75f9469e82,kɨFtəM taMkaF wuMtiMwuMnæM,˧,M,25
train,train-YH-999_SP08_6313299_6314127-4dd237eb81a2,ɛMlɛF tsaMtsəFsɛM,˧,M,1
train,train-YH-999_SP08_6313299_6314127-4dd237eb81a2,ɛMlɛF tsaMtsəFsɛM,˥,F,4
train,train-YH-999_SP08_6313299_6314127-4dd237eb81a2,ɛMlɛF tsaMtsəFsɛM,˧,F,4
train,train-YH-999_SP08_6313299_6314127-4dd237eb81a2,ɛMlɛF tsaMtsəFsɛM,˧,M,9
train,train-YH-999_SP08_6313299_6314127-4dd237eb81a2,ɛMlɛF tsaMtsəFsɛM,˥,F,13
train,train-YH-999_SP08_6313299_6314127-4dd237eb81a2,ɛMlɛF tsaMtsəFsɛM,˧,F,13
train,train-YH-999_SP08_6313299_6314127-4dd237eb81a2,ɛMlɛF tsaMtsəFsɛM,˧,M,16
train,train-YH-999_SP08_2501727_2502225-39aff70d6e51,ɛFɕiM,˥,F,1
train,train-YH-999_SP08_2501727_2502225-39aff70d6e51,ɛFɕiM,˧,F,1
train,train-YH-999_SP08_2501727_2502225-39aff70d6e51,ɛFɕiM,˧,M,4
train,train-YH-999_SP07_5887538_5888314-4be30050cc68,lɔMʂɨF kɨFhuM,˧,M,2
train,train-YH-999_SP07_5887538_5888314-4be30050cc68,lɔMʂɨF kɨFhuM,˥,F,5
train,train-YH-999_SP07_5887538_5888314-4be30050cc68,lɔMʂɨF kɨFhuM,˧,F,5
train,train-YH-999_SP07_5887538_5888314-4be30050cc68,lɔMʂɨF kɨFhuM,˥,F,9
train,train-YH-999_SP07_5887538_5888314-4be30050cc68,lɔMʂɨF kɨFhuM,˧,F,9
train,train-YH-999_SP07_5887538_5888314-4be30050cc68,lɔMʂɨF kɨFhuM,˧,M,12
train,train-YH-999_SP08_1642811_1643803-460eb42a5bbc,ɕjawMtʂuFəɹMtsɨM hɛFpiM,˧,M,4
train,train-YH-999_SP08_1642811_1643803-460eb42a5bbc,ɕjawMtʂuFəɹMtsɨM hɛFpiM,˥,F,8
train,train-YH-999_SP08_1642811_1643803-460eb42a5bbc,ɕjawMtʂuFəɹMtsɨM hɛFpiM,˧,F,8
train,train-YH-999_SP08_1642811_1643803-460eb42a5bbc,ɕjawMtʂuFəɹMtsɨM hɛFpiM,˧,M,11
train,train-YH-999_SP08_1642811_1643803-460eb42a5bbc,ɕjawMtʂuFəɹMtsɨM hɛFpiM,˧,M,15
train,train-YH-999_SP08_1642811_1643803-460eb42a5bbc,ɕjawMtʂuFəɹMtsɨM hɛFpiM,˥,F,19
train,train-YH-999_SP08_1642811_1643803-460eb42a5bbc,ɕjawMtʂuFəɹMtsɨM hɛFpiM,˧,F,19
train,train-YH-999_SP08_1642811_1643803-460eb42a5bbc,ɕjawMtʂuFəɹMtsɨM hɛFpiM,˧,M,22
train,train-YH-999_SP08_2535986_2536605-2f05957eb729,pʰajMtʂawM,˧,M,4
train,train-YH-999_SP08_2535986_2536605-2f05957eb729,pʰajMtʂawM,˧,M,9
train,train-YH-999_SP08_2092746_2093875-d0b772baf387,tʰyMtʰyMhuF kjæMwujM,˧,M,3
train,train-YH-999_SP08_2092746_2093875-d0b772baf387,tʰyMtʰyMhuF kjæMwujM,˧,M,7
train,train-YH-999_SP08_2092746_2093875-d0b772baf387,tʰyMtʰyMhuF kjæMwujM,˥,F,10
train,train-YH-999_SP08_2092746_2093875-d0b772baf387,tʰyMtʰyMhuF kjæMwujM,˧,F,10
train,train-YH-999_SP08_2092746_2093875-d0b772baf387,tʰyMtʰyMhuF kjæMwujM,˧,M,15
train,train-YH-999_SP08_2092746_2093875-d0b772baf387,tʰyMtʰyMhuF kjæMwujM,˧,M,19
train,train-YH-999_SP08_0030594_0032046-7f21339c8530,əNM jiMsɨM ɛMlyɛF juNMhɔMɕjæMsɨM,N,N,1
train,train-YH-999_SP08_0030594_0032046-7f21339c8530,əNM jiMsɨM ɛMlyɛF juNMhɔMɕjæMsɨM,˧,M,2
train,train-YH-999_SP08_0030594_0032046-7f21339c8530,əNM jiMsɨM ɛMlyɛF juNMhɔMɕjæMsɨM,˧,M,6
train,train-YH-999_SP08_0030594_0032046-7f21339c8530,əNM jiMsɨM ɛMlyɛF juNMhɔMɕjæMsɨM,˧,M,9
train,train-YH-999_SP08_0030594_0032046-7f21339c8530,əNM jiMsɨM ɛMlyɛF juNMhɔMɕjæMsɨM,˧,M,12
train,train-YH-999_SP08_0030594_0032046-7f21339c8530,əNM jiMsɨM ɛMlyɛF juNMhɔMɕjæMsɨM,˥,F,16
train,train-YH-999_SP08_0030594_0032046-7f21339c8530,əNM jiMsɨM ɛMlyɛF juNMhɔMɕjæMsɨM,˧,F,16
train,train-YH-999_SP08_0030594_0032046-7f21339c8530,əNM jiMsɨM ɛMlyɛF juNMhɔMɕjæMsɨM,N,N,20
train,train-YH-999_SP08_0030594_0032046-7f21339c8530,əNM jiMsɨM ɛMlyɛF juNMhɔMɕjæMsɨM,˧,M,21
train,train-YH-999_SP08_0030594_0032046-7f21339c8530,əNM jiMsɨM ɛMlyɛF juNMhɔMɕjæMsɨM,˧,M,24
train,train-YH-999_SP08_0030594_0032046-7f21339c8530,əNM jiMsɨM ɛMlyɛF juNMhɔMɕjæMsɨM,˧,M,28
train,train-YH-999_SP08_0030594_0032046-7f21339c8530,əNM jiMsɨM ɛMlyɛF juNMhɔMɕjæMsɨM,˧,M,31
train,train-YH-999_SP07_4892520_4893681-286ad81379f3,ɔM tsɨMkəF saŋMkʰwajFtɕʰjæM,˧,M,1
train,train-YH-999_SP07_4892520_4893681-286ad81379f3,ɔM tsɨMkəF saŋMkʰwajFtɕʰjæM,˧,M,6
train,train-YH-999_SP07_4892520_4893681-286ad81379f3,ɔM tsɨMkəF saŋMkʰwajFtɕʰjæM,˥,F,9
train,train-YH-999_SP07_4892520_4893681-286ad81379f3,ɔM tsɨMkəF saŋMkʰwajFtɕʰjæM,˧,F,9
train,train-YH-999_SP07_4892520_4893681-286ad81379f3,ɔM tsɨMkəF saŋMkʰwajFtɕʰjæM,˧,M,14
train,train-YH-999_SP07_4892520_4893681-286ad81379f3,ɔM tsɨMkəF saŋMkʰwajFtɕʰjæM,˥,F,20
train,train-YH-999_SP07_4892520_4893681-286ad81379f3,ɔM tsɨMkəF saŋMkʰwajFtɕʰjæM,˧,F,20
train,train-YH-999_SP07_4892520_4893681-286ad81379f3,ɔM tsɨMkəF saŋMkʰwajFtɕʰjæM,˧,M,26
train,train-YH-999_SP07_4153979_4154541-f21a7db8114e,kajMlɔM,˧,M,3
train,train-YH-999_SP07_4153979_4154541-f21a7db8114e,kajMlɔM,˧,M,6
train,train-YH-999_SP08_1287292_1287806-81978613d6a7,taRsɨM pajMtɕjaF,˧,R,2
train,train-YH-999_SP08_1287292_1287806-81978613d6a7,taRsɨM pajMtɕjaF,˥,R,2
train,train-YH-999_SP08_1287292_1287806-81978613d6a7,taRsɨM pajMtɕjaF,˧,M,5
train,train-YH-999_SP08_1287292_1287806-81978613d6a7,taRsɨM pajMtɕjaF,˧,M,10
train,train-YH-999_SP08_1287292_1287806-81978613d6a7,taRsɨM pajMtɕjaF,˥,F,15
train,train-YH-999_SP08_1287292_1287806-81978613d6a7,taRsɨM pajMtɕjaF,˧,F,15
train,train-YH-758_SP01_1384136_1384651-f3685694b87a,jiMwuMnaM,˧,M,2
train,train-YH-758_SP01_1384136_1384651-f3685694b87a,jiMwuMnaM,˧,M,5
train,train-YH-758_SP01_1384136_1384651-f3685694b87a,jiMwuMnaM,˧,M,8
train,train-YH-868_SP04_2100981_2101767-b2e7cc7b0d10,aF tɕəwR kjaF əɹRtəM əɹMmuɹMnæM,˥,F,1
train,train-YH-868_SP04_2100981_2101767-b2e7cc7b0d10,aF tɕəwR kjaF əɹRtəM əɹMmuɹMnæM,˧,F,1
train,train-YH-868_SP04_2100981_2101767-b2e7cc7b0d10,aF tɕəwR kjaF əɹRtəM əɹMmuɹMnæM,˧,R,7
train,train-YH-868_SP04_2100981_2101767-b2e7cc7b0d10,aF tɕəwR kjaF əɹRtəM əɹMmuɹMnæM,˥,R,7
train,train-YH-868_SP04_2100981_2101767-b2e7cc7b0d10,aF tɕəwR kjaF əɹRtəM əɹMmuɹMnæM,˥,F,12
train,train-YH-868_SP04_2100981_2101767-b2e7cc7b0d10,aF tɕəwR kjaF əɹRtəM əɹMmuɹMnæM,˧,F,12
train,train-YH-868_SP04_2100981_2101767-b2e7cc7b0d10,aF tɕəwR kjaF əɹRtəM əɹMmuɹMnæM,˧,R,16
train,train-YH-868_SP04_2100981_2101767-b2e7cc7b0d10,aF tɕəwR kjaF əɹRtəM əɹMmuɹMnæM,˥,R,16
train,train-YH-868_SP04_2100981_2101767-b2e7cc7b0d10,aF tɕəwR kjaF əɹRtəM əɹMmuɹMnæM,˧,M,19
train,train-YH-868_SP04_2100981_2101767-b2e7cc7b0d10,aF tɕəwR kjaF əɹRtəM əɹMmuɹMnæM,˧,M,23
train,train-YH-868_SP04_2100981_2101767-b2e7cc7b0d10,aF tɕəwR kjaF əɹRtəM əɹMmuɹMnæM,˧,M,27
train,train-YH-868_SP04_2100981_2101767-b2e7cc7b0d10,aF tɕəwR kjaF əɹRtəM əɹMmuɹMnæM,˧,M,30
train,train-YH-758_SP03_0877645_0878851-ddf4842cef12,hwaMtɕjawM mɛjMjyɛMjiM,˧,M,3
train,train-YH-758_SP03_0877645_0878851-ddf4842cef12,hwaMtɕjawM mɛjMjyɛMjiM,˧,M,9
train,train-YH-758_SP03_0877645_0878851-ddf4842cef12,hwaMtɕjawM mɛjMjyɛMjiM,˧,M,14
train,train-YH-758_SP03_0877645_0878851-ddf4842cef12,hwaMtɕjawM mɛjMjyɛMjiM,˧,M,18
train,train-YH-758_SP03_0877645_0878851-ddf4842cef12,hwaMtɕjawM mɛjMjyɛMjiM,˧,M,21
train,train-YH-758_SP02_2778709_2780261-5d017994bab8,ɛMtyFsɨMkɛjM tɕəwR ɛMɕɛjRjiM kɨMtɛMjaM,˧,M,1
train,train-YH-758_SP02_2778709_2780261-5d017994bab8,ɛMtyFsɨMkɛjM tɕəwR ɛMɕɛjRjiM kɨMtɛMjaM,˥,F,4
train,train-YH-758_SP02_2778709_2780261-5d017994bab8,ɛMtyFsɨMkɛjM tɕəwR ɛMɕɛjRjiM kɨMtɛMjaM,˧,F,4
train,train-YH-758_SP02_2778709_2780261-5d017994bab8,ɛMtyFsɨMkɛjM tɕəwR ɛMɕɛjRjiM kɨMtɛMjaM,˧,M,7
train,train-YH-758_SP02_2778709_2780261-5d017994bab8,ɛMtyFsɨMkɛjM tɕəwR ɛMɕɛjRjiM kɨMtɛMjaM,˧,M,11
train,train-YH-758_SP02_2778709_2780261-5d017994bab8,ɛMtyFsɨMkɛjM tɕəwR ɛMɕɛjRjiM kɨMtɛMjaM,˧,R,17
train,train-YH-758_SP02_2778709_2780261-5d017994bab8,ɛMtyFsɨMkɛjM tɕəwR ɛMɕɛjRjiM kɨMtɛMjaM,˥,R,17
train,train-YH-758_SP02_2778709_2780261-5d017994bab8,ɛMtyFsɨMkɛjM tɕəwR ɛMɕɛjRjiM kɨMtɛMjaM,˧,M,20
train,train-YH-758_SP02_2778709_2780261-5d017994bab8,ɛMtyFsɨMkɛjM tɕəwR ɛMɕɛjRjiM kɨMtɛMjaM,˧,R,24
train,train-YH-758_SP02_2778709_2780261-5d017994bab8,ɛMtyFsɨMkɛjM tɕəwR ɛMɕɛjRjiM kɨMtɛMjaM,˥,R,24
train,train-YH-758_SP02_2778709_2780261-5d017994bab8,ɛMtyFsɨMkɛjM tɕəwR ɛMɕɛjRjiM kɨMtɛMjaM,˧,M,27
train,train-YH-758_SP02_2778709_2780261-5d017994bab8,ɛMtyFsɨMkɛjM tɕəwR ɛMɕɛjRjiM kɨMtɛMjaM,˧,M,31
train,train-YH-758_SP02_2778709_2780261-5d017994bab8,ɛMtyFsɨMkɛjM tɕəwR ɛMɕɛjRjiM kɨMtɛMjaM,˧,M,34
train,train-YH-758_SP02_2778709_2780261-5d017994bab8,ɛMtyFsɨMkɛjM tɕəwR ɛMɕɛjRjiM kɨMtɛMjaM,˧,M,37
train,train-YH-999_SP07_0705593_0706195-4e4413b3f068,tʰəF tʂʰwaMtʰiF,˥,F,3
train,train-YH-999_SP07_0705593_0706195-4e4413b3f068,tʰəF tʂʰwaMtʰiF,˧,F,3
train,train-YH-999_SP07_0705593_0706195-4e4413b3f068,tʰəF tʂʰwaMtʰiF,˧,M,10
train,train-YH-999_SP07_0705593_0706195-4e4413b3f068,tʰəF tʂʰwaMtʰiF,˥,F,14
train,train-YH-999_SP07_0705593_0706195-4e4413b3f068,tʰəF tʂʰwaMtʰiF,˧,F,14
train,train-YH-758_SP01_0986047_0986661-fa39319ad7f6,tɕiR ɛMkɛjF ɦaMtaMnæM,˧,R,3
train,train-YH-758_SP01_0986047_0986661-fa39319ad7f6,tɕiR ɛMkɛjF ɦaMtaMnæM,˥,R,3
train,train-YH-758_SP01_0986047_0986661-fa39319ad7f6,tɕiR ɛMkɛjF ɦaMtaMnæM,˧,M,6
train,train-YH-758_SP01_0986047_0986661-fa39319ad7f6,tɕiR ɛMkɛjF ɦaMtaMnæM,˥,F,10
train,train-YH-758_SP01_0986047_0986661-fa39319ad7f6,tɕiR ɛMkɛjF ɦaMtaMnæM,˧,F,10
train,train-YH-758_SP01_0986047_0986661-fa39319ad7f6,tɕiR ɛMkɛjF ɦaMtaMnæM,˧,M,14
train,train-YH-758_SP01_0986047_0986661-fa39319ad7f6,tɕiR ɛMkɛjF ɦaMtaMnæM,˧,M,17
train,train-YH-758_SP01_0986047_0986661-fa39319ad7f6,tɕiR ɛMkɛjF ɦaMtaMnæM,˧,M,20
train,train-YH-999_SP07_2343503_2343974-9e3c4ab88043,ɔM,˧,M,1
train,train-YH-868_SP04_2143448_2145012-5da2c978759b,tɕiF paŋMpjæH ɦaMkʰwaMləɹF ɔM,˥,F,3
train,train-YH-868_SP04_2143448_2145012-5da2c978759b,tɕiF paŋMpjæH ɦaMkʰwaMləɹF ɔM,˧,F,3
train,train-YH-868_SP04_2143448_2145012-5da2c978759b,tɕiF paŋMpjæH ɦaMkʰwaMləɹF ɔM,˧,M,8
train,train-YH-868_SP04_2143448_2145012-5da2c978759b,tɕiF paŋMpjæH ɦaMkʰwaMləɹF ɔM,˥,H,12
train,train-YH-868_SP04_2143448_2145012-5da2c978759b,tɕiF paŋMpjæH ɦaMkʰwaMləɹF ɔM,˧,M,16
train,train-YH-868_SP04_2143448_2145012-5da2c978759b,tɕiF paŋMpjæH ɦaMkʰwaMləɹF ɔM,˧,M,21
train,train-YH-868_SP04_2143448_2145012-5da2c978759b,tɕiF paŋMpjæH ɦaMkʰwaMləɹF ɔM,˥,F,25
train,train-YH-868_SP04_2143448_2145012-5da2c978759b,tɕiF paŋMpjæH ɦaMkʰwaMləɹF ɔM,˧,F,25
train,train-YH-868_SP04_2143448_2145012-5da2c978759b,tɕiF paŋMpjæH ɦaMkʰwaMləɹF ɔM,˧,M,28
train,train-YH-999_SP07_5474703_5475376-3f0496e61e52,ʂawM,˧,M,3
train,train-YH-758_SP01_1027256_1028264-297b1f9d084d,təMhwaŋHtɕɛjM maMkajM,˧,M,2
train,train-YH-758_SP01_1027256_1028264-297b1f9d084d,təMhwaŋHtɕɛjM maMkajM,˥,H,7
train,train-YH-758_SP01_1027256_1028264-297b1f9d084d,təMhwaŋHtɕɛjM maMkajM,˧,M,12
train,train-YH-758_SP01_1027256_1028264-297b1f9d084d,təMhwaŋHtɕɛjM maMkajM,˧,M,16
train,train-YH-758_SP01_1027256_1028264-297b1f9d084d,təMhwaŋHtɕɛjM maMkajM,˧,M,20
train,train-YH-758_SP02_0769629_0770350-c46dbd4d2c64,ɔF,˥,F,1
train,train-YH-758_SP02_0769629_0770350-c46dbd4d2c64,ɔF,˧,F,1
train,train-YH-758_SP01_2305411_2305978-9a5b355b45cf,tʂwaMjiMɕiFnæM,˧,M,4
train,train-YH-758_SP01_2305411_2305978-9a5b355b45cf,tʂwaMjiMɕiFnæM,˧,M,7
train,train-YH-758_SP01_2305411_2305978-9a5b355b45cf,tʂwaMjiMɕiFnæM,˥,F,10
train,train-YH-758_SP01_2305411_2305978-9a5b355b45cf,tʂwaMjiMɕiFnæM,˧,F,10
train,train-YH-758_SP01_2305411_2305978-9a5b355b45cf,tʂwaMjiMɕiFnæM,˧,M,13
train,train-YH-999_SP07_4697088_4697943-cbe4679c5114,lawFhəɹM lawFpʰɔMpʰɔM,˥,F,3
train,train-YH-999_SP07_4697088_4697943-cbe4679c5114,lawFhəɹM lawFpʰɔMpʰɔM,˧,F,3
train,train-YH-999_SP07_4697088_4697943-cbe4679c5114,lawFhəɹM lawFpʰɔMpʰɔM,˧,M,7
train,train-YH-999_SP07_4697088_4697943-cbe4679c5114,lawFhəɹM lawFpʰɔMpʰɔM,˥,F,12
train,train-YH-999_SP07_4697088_4697943-cbe4679c5114,lawFhəɹM lawFpʰɔMpʰɔM,˧,F,12
train,train-YH-999_SP07_4697088_4697943-cbe4679c5114,lawFhəɹM lawFpʰɔMpʰɔM,˧,M,16
train,train-YH-999_SP07_4697088_4697943-cbe4679c5114,lawFhəɹM lawFpʰɔMpʰɔM,˧,M,20
train,train-YH-868_SP04_2444472_2445064-0d34627ba3bf,uNF jiM,N,N,1
train,train-YH-868_SP04_2444472_2445064-0d34627ba3bf,uNF jiM,˥,F,2
train,train-YH-868_SP04_2444472_2445064-0d34627ba3bf,uNF jiM,˧,F,2
train,train-YH-868_SP04_2444472_2445064-0d34627ba3bf,uNF jiM,˧,M,6
train,train-YH-758_SP01_1187602_1188227-fe7ff47b9238,bɛMtɕɛjF ɦəɹM,˧,M,2
train,train-YH-758_SP01_1187602_1188227-fe7ff47b9238,bɛMtɕɛjF ɦəɹM,˥,F,7
train,train-YH-758_SP01_1187602_1188227-fe7ff47b9238,bɛMtɕɛjF ɦəɹM,˧,F,7
train,train-YH-758_SP01_1187602_1188227-fe7ff47b9238,bɛMtɕɛjF ɦəɹM,˧,M,12
train,train-YH-999_SP07_6384137_6385045-9f9aea447340,tsɨFkiMsuM jæMlæFkɛjM,˥,F,3
train,train-YH-999_SP07_6384137_6385045-9f9aea447340,tsɨFkiMsuM jæMlæFkɛjM,˧,F,3
train,train-YH-999_SP07_6384137_6385045-9f9aea447340,tsɨFkiMsuM jæMlæFkɛjM,˧,M,6
train,train-YH-999_SP07_6384137_6385045-9f9aea447340,tsɨFkiMsuM jæMlæFkɛjM,˧,M,9
train,train-YH-999_SP07_6384137_6385045-9f9aea447340,tsɨFkiMsuM jæMlæFkɛjM,˧,M,13
train,train-YH-999_SP07_6384137_6385045-9f9aea447340,tsɨFkiMsuM jæMlæFkɛjM,˥,F,16
train,train-YH-999_SP07_6384137_6385045-9f9aea447340,tsɨFkiMsuM jæMlæFkɛjM,˧,F,16
train,train-YH-999_SP07_6384137_6385045-9f9aea447340,tsɨFkiMsuM jæMlæFkɛjM,˧,M,20
